大区,区域,城市,主机,发送,接收,丢包率(%),最小(ms),平均(ms),最大(ms),抖动(ms)
北美地区,美国西部,旧金山 (SFO2),sfo2.digitaloceanspaces.com,30,30,0.0,191.451,192.529,194.783,0.796
北美地区,美国东部,纽约 (NYC3),nyc3.digitaloceanspaces.com,30,30,0.0,254.445,255.991,258.656,0.974
北美地区,美国西部,旧金山 (SFO3),sfo3.digitaloceanspaces.com,30,20,33.3333,203.613,204.808,207.355,0.882
北美地区,加拿大东部,多伦多 (TOR1),tor1.digitaloceanspaces.com,30,30,0.0,267.105,289.496,303.333,10.257
欧洲地区,德国中部,法兰克福 (FRA1),fra1.digitaloceanspaces.com,30,19,36.6667,253.464,254.936,260.337,1.573
欧洲地区,荷兰北部,阿姆斯特丹 (AMS3),ams3.digitaloceanspaces.com,30,29,3.33333,282.464,283.778,289.496,1.514
欧洲地区,英国南部,伦敦 (LON1),lon1.digitaloceanspaces.com,30,21,30.0,248.76,250.692,255.898,1.502
亚太地区,东南亚,新加坡 (SGP1),sgp1.digitaloceanspaces.com,30,19,36.6667,339.607,349.464,360.3,8.203
亚太地区,南亚,班加罗尔 (BLR1),blr1.digitaloceanspaces.com,30,30,0.0,274.671,276.053,280.494,1.432
